Dagsetning,Áfangi,Verkefni
mánudagur 23. mars,COMPSCI 32,Hw #10: Find colliding words
miðvikudagur 25. mars,PSY 1900,Exam 2
miðvikudagur 25. mars,COMPSCI 32,FP Dreams
miðvikudagur 25. mars,COMPSCI 32,Quiz #5
föstudagur 27. mars,MCB 128,b3_homework
mánudagur 30. mars,PSY 1900,Lecture
mánudagur 30. mars,LIFESCI 1B,PIE 3: Lectures 12-15
mánudagur 30. mars,COMPSCI 32,Hw #11: An informed search
þriðjudagur 31. mars,ARC Pe,March Training Recording and Quiz - Group Tutoring Dynamics
miðvikudagur 1. apríl,PSY 1900,Lecture
miðvikudagur 1. apríl,COMPSCI 32,FP Choice
miðvikudagur 1. apríl,COMPSCI 32,Hw #12: Classes in OO programming
miðvikudagur 1. apríl,COMPSCI 32,PSet #5: Check-In (steps 1-4)
föstudagur 3. apríl,MCB 128,quiz 4
laugardagur 4. apríl,LIFESCI 1B,Problem Set (PSet) 6
sunnudagur 5. apríl,PSY 1900,Homework 6
mánudagur 6. apríl,PSY 1900,Lecture
mánudagur 6. apríl,COMPSCI 32,Quiz #6
miðvikudagur 8. apríl,PSY 1900,Lecture
miðvikudagur 8. apríl,COMPSCI 32,FP Design
miðvikudagur 8. apríl,COMPSCI,"Hw #13: Recursions\, Plotting in Python\, Tree Traversals"
föstudagur 10. apríl,MCB 128,b4_homework
föstudagur 10. apríl,COMPSCI 32,PSet #5: Final Turn-In
sunnudagur 12. apríl,PSY 1900,Homework 7
mánudagur 13. apríl,PSY 1900,Lecture
mánudagur 13. apríl,COMPSCI 32,Hw #14: Playing with a RE
miðvikudagur 15. apríl,PSY 1900,Lecture
miðvikudagur 15. apríl,COMPSCI 32,Pset #6: Check-In (steps 1-3)
miðvikudagur 15. apríl,COMPSCI 32,Hw #15: Examining bias in data
föstudagur 17. apríl,MCB 128,quiz 5
laugardagur 18. apríl,LIFESCI 1B,Problem Set (PSet) 7
föstudagur 17. apríl,COMPSCI 32,Pset #6: Final Turn-In
sunnudagur 19. apríl,PSY 1900,Homework 8
mánudagur 20. apríl,PSY 1900,Lecture
mánudagur 20. apríl,LIFESCI 1B,PIE 4: Lectures 17-22
miðvikudagur 22. apríl,PSY 1900,PSY1900 Meeting Link
miðvikudagur 22. apríl,COMPSCI 32,COMPSCI 32: Computational Thinking and Problem Solving
miðvikudagur 22. apríl,PSY 1900,Lecture
miðvikudagur 22. apríl,COMPSCI 32,Hw #16: Bug hunting with repl32.py
fimmtudagur 23. apríl,PSY 1900,PSY1900 Meeting Link
fimmtudagur 23. apríl,COMPSCI 32,FP Status
föstudagur 24. apríl,PSY 1900,PSY1900 Meeting Link
laugardagur 25. apríl,LIFESCI 1B,Problem Set (Pset) 8
föstudagur 24. apríl,MCB 128,b5_homework
laugardagur 25. apríl,PSY 1900,PSY1900 Meeting Link
sunnudagur 26. apríl,PSY 1900,PSY1900 Meeting Link
sunnudagur 26. apríl,PSY 1900,Homework 9
mánudagur 27. apríl,PSY 1900,PSY1900 Meeting Link
mánudagur 27. apríl,COMPSCI 32,COMPSCI 32: Computational Thinking and Problem Solving
mánudagur 27. apríl,PSY 1900,Lecture
þriðjudagur 28. apríl,LIFESCI 1B,Lab Assignment 3 (Microbiome write-up)
þriðjudagur 28. apríl,PSY 1900,PSY1900 Meeting Link
miðvikudagur 29. apríl,PSY 1900,PSY1900 Meeting Link
miðvikudagur 29. apríl,COMPSCI 32,COMPSCI 32: Computational Thinking and Problem Solving
miðvikudagur 29. apríl,PSY 1900,Exam 3
fimmtudagur 30. apríl,PSY 1900,PSY1900 Meeting Link
föstudagur 1. maí,PSY 1900,PSY1900 Meeting Link
laugardagur 2. maí,PSY 1900,PSY1900 Meeting Link
sunnudagur 3. maí,PSY 1900,PSY1900 Meeting Link
mánudagur 4. maí,PSY 1900,PSY1900 Meeting Link
mánudagur 4. maí,COMPSCI 32,FP Submission
þriðjudagur 5. maí,PSY 1900,PSY1900 Meeting Link
þriðjudagur 5. maí,NEURO 91,Final report (or thesis proposal)
miðvikudagur 6. maí,MCB 128,b6_homework
miðvikudagur 9. september,NEURO 91,Registration form
fimmtudagur 10. september,PSY 1813,Reading Response 9/10
fimmtudagur 17. september,PSY 1813,Reading Response 9/17
föstudagur 18. september,PSY 1813,Assignment 1
fimmtudagur 24. september,PSY 1813,Reading Response 9/24
þriðjudagur 29. september,HEB 117,Week 2 Homework
fimmtudagur 1. október,PSY 1813,Reading Response 10/01
föstudagur 2. október,PSY 1813,Assignment 2
fimmtudagur 8. október,PSY 1813,Reading Response 10/08
fimmtudagur 15. október,PSY 1813,Assignment 3 Part I
fimmtudagur 15. október,PSY 1813,Reading Response 10/15
mánudagur 19. október,HEB 117,Mini Project: Gene expression in sleepy mice
fimmtudagur 22. október,PSY 1813,Reading Response 10/22
föstudagur 23. október,PSY 1813,Assignment 3 Part II
fimmtudagur 29. október,PSY 1813,Reading Response 10/29
föstudagur 30. október,PSY 1813,Assignment 4
mánudagur 2. nóvember,HEB 117,Session 6 Homework
fimmtudagur 5. nóvember,PSY 1813,Reading Response 11/05
þriðjudagur 10. nóvember,HEB 117,Individual Research Project Planning Form
fimmtudagur 12. nóvember,PSY 1813,Reading Response 11/12
þriðjudagur 17. nóvember,PSY 1813,Assignment 5 Part I
þriðjudagur 17. nóvember,PSY 1813,Assignment 5 Part II
mánudagur 14. desember,HEB 1,Extra Credit Assignment: Analysis of HEB 55 sleep diary data
mánudagur 14. desember,HEB 117,Final draft of individual research report
